"year","sex","agegrp","pop"
2011,"Persons",12,264097
2011,"Persons",13,245412
2011,"Persons",14,191223
2011,"Persons",15,139397
2011,"Persons",16,101286
2011,"Persons",17,77973
2011,"Persons",18,69879
2012,"Persons",1,312314
2012,"Persons",2,300928
2012,"Persons",3,295834
2012,"Persons",4,305127
2012,"Persons",5,328356
2012,"Persons",6,334556
2012,"Persons",7,310614
2012,"Persons",8,313805
2012,"Persons",9,330981
2012,"Persons",10,308980
2012,"Persons",11,304533
2012,"Persons",12,269370
2012,"Persons",13,245669
2012,"Persons",14,205143
2012,"Persons",15,146340
2012,"Persons",16,104547
2012,"Persons",17,78797
2012,"Persons",18,72793
2013,"Persons",1,316926
2013,"Persons",2,310197
2013,"Persons",3,297026
2013,"Persons",4,307553
2013,"Persons",5,333051
2013,"Persons",6,339396
2013,"Persons",7,322112
2013,"Persons",8,310880
2013,"Persons",9,338054
2013,"Persons",10,309208
2013,"Persons",11,310914
2013,"Persons",12,274787
2013,"Persons",13,249285
2013,"Persons",14,216971
2013,"Persons",15,152958
2013,"Persons",16,108359
2013,"Persons",17,79235
2013,"Persons",18,75912
2014,"Persons",1,318229
2014,"Persons",2,318211
2014,"Persons",3,299365
2014,"Persons",4,307460
2014,"Persons",5,338014
2014,"Persons",6,341022
2014,"Persons",7,330355
2014,"Persons",8,308098
2014,"Persons",9,339789
2014,"Persons",10,311107
2014,"Persons",11,314819
2014,"Persons",12,281089
2014,"Persons",13,252824
2014,"Persons",14,225518
2014,"Persons",15,161209
2014,"Persons",16,113676
2014,"Persons",17,79826
2014,"Persons",18,79042
2015,"Persons",1,317204
2015,"Persons",2,325144
2015,"Persons",3,302014
2015,"Persons",4,305839
2015,"Persons",5,340118
2015,"Persons",6,343836
2015,"Persons",7,336623
2015,"Persons",8,308896
2015,"Persons",9,337427
2015,"Persons",10,316473
2015,"Persons",11,315081
2015,"Persons",12,287509
2015,"Persons",13,256017
2015,"Persons",14,233334
2015,"Persons",15,170290
2015,"Persons",16,119217
2015,"Persons",17,80742
2015,"Persons",18,81928
2016,"Persons",1,317329
2016,"Persons",2,330526
2016,"Persons",3,306564
2016,"Persons",4,307274
2016,"Persons",5,341504
2016,"Persons",6,347914
2016,"Persons",7,341659
2016,"Persons",8,313222
2016,"Persons",9,330972
2016,"Persons",10,327004
2016,"Persons",11,312825
2016,"Persons",12,295084
2016,"Persons",13,260050
2016,"Persons",14,241136
2016,"Persons",15,179591
2016,"Persons",16,125009
2016,"Persons",17,82559
2016,"Persons",18,84930
2017,"Persons",1,316341
2017,"Persons",2,333750
2017,"Persons",3,315336
2017,"Persons",4,310660
2017,"Persons",5,342351
2017,"Persons",6,353940
2017,"Persons",7,347312
2017,"Persons",8,321862
2017,"Persons",9,326070
